"Năm thi","Mã trường","Tên trường","Mã xét tuyển","Chương trình đào tạo","Chỉ tiêu","Khối xét tuyển","Điểm chuẩn"
"2019","BKA","Đại học Bách Khoa Hà Nội","BF1","Kỹ thuật sinh học","80","A00; B00; D07","23.4"
"2019","BKA","Đại học Bách Khoa Hà Nội","BF2","Kỹ thuật thực phẩm","200","A00; B00; D07","24"
"2019","BKA","Đại học Bách Khoa Hà Nội","BF-E12","Chương trình tiên tiến kỹ thuật thực phẩm","30","A00; B00; D07","23"
"2019","BKA","Đại học Bách Khoa Hà Nội","CH1","Kỹ thuật hóa học","460","A00; B00; D07","22.3"
"2019","BKA","Đại học Bách Khoa Hà Nội","CH2","Hóa học","80","A00; B00; D07","21.1"
"2019","BKA","Đại học Bách Khoa Hà Nội","CH3","Kỹ thuật in","30","A00; B00; D07","21.1"
"2019","BKA","Đại học Bách Khoa Hà Nội","CH-E11","Chương trình tiên tiến kỹ thuật hóa dược","30","A00; B00; D07","23.1"
"2019","BKA","Đại học Bách Khoa Hà Nội","ED2","Công nghệ giáo dục","40","A00; A01; D01","20.6"
"2019","BKA","Đại học Bách Khoa Hà Nội","EE1","Kỹ thuật điện","220","A00; A01","24.28"
"2019","BKA","Đại học Bách Khoa Hà Nội","EE2","Kỹ thuật điều khiển - tự động hóa","500","A00; A01","26.05"
"2019","BKA","Đại học Bách Khoa Hà Nội","EE-E8","Chương trình tiên tiến điều khiển - tự động hóa và hệ thống điện","80","A00; A01","25.2"
"2019","BKA","Đại học Bách Khoa Hà Nội","EM1","Kinh tế công nghiệp","40","A00; A01; D01","21.9"
"2019","BKA","Đại học Bách Khoa Hà Nội","EM2","Quản lý công nghiệp","100","A00; A01; D01","22.3"
"2019","BKA","Đại học Bách Khoa Hà Nội","EM3","Quản trị kinh doanh","80","A00; A01; D01","23.3"
"2019","BKA","Đại học Bách Khoa Hà Nội","EM4","Kế toán","60","A00; A01; D01","22.6"
"2019","BKA","Đại học Bách Khoa Hà Nội","EM5","Tài chính - ngân hàng","40","A00; A01; D01","22.5"
"2019","BKA","Đại học Bách Khoa Hà Nội","EM-E13","Chương trình tiên tiến phân tích kinh doanh","30","A00; A01","22"
"2019","BKA","Đại học Bách Khoa Hà Nội","EM-NU","Quản lý công nghiệp - Logistics và quản lý chuỗi cung ứng - ĐH Northampton (Anh)","40","A00; A01; D01; D07","23"
"2019","BKA","Đại học Bách Khoa Hà Nội","EM-VUW","Quản trị kinh doanh - ĐH Victoria (New Zea-
land)","40","A00; A01; D01; D07","20.9"
"2019","BKA","Đại học Bách Khoa Hà Nội","ET1","Kỹ thuật điện tử - viễn thông","500","A00; A01","24.8"
"2019","BKA","Đại học Bách Khoa Hà Nội","ET-E4","Chương trình tiên tiến điện tử - viễn thông","40","A00; A01","24.6"
"2019","BKA","Đại học Bách Khoa Hà Nội","ET-E5","Chương trình tiên tiến kỹ thuật y sinh","40","A00; A01","24.1"
"2019","BKA","Đại học Bách Khoa Hà Nội","ET-E9","Chương trình tiên tiến hệ thống nhúng thông minh và loT","40","A00; A01","24.95"
"2019","BKA","Đại học Bách Khoa Hà Nội","ET-LUH","Điện tử-viễn thông - ĐH Leibniz Hannover (Đức)","40","A00; A01; D07","20.3"
"2019","BKA","Đại học Bách Khoa Hà Nội","EV1","Kỹ thuật môi trường","120","A00; B00; D07","20.2"
"2019","BKA","Đại học Bách Khoa Hà Nội","FL1","Tiếng anh KHKT và công nghệ","150","D01","22.6"
"2019","BKA","Đại học Bách Khoa Hà Nội","FL2","Tiếng anh chuyên nghiệp quốc tế","60","D01","23.2"
"2019","BKA","Đại học Bách Khoa Hà Nội","HE1","Kỹ thuật nhiệt","250","A00; A01","22.3"
"2019","BKA","Đại học Bách Khoa Hà Nội","IT1","CNTT: Khoa học máy tính","260","A00; A01","27.42"
"2019","BKA","Đại học Bách Khoa Hà Nội","IT2","CNTT: Kỹ thuật máy tính","180","A00; A01","26.85"
"2019","BKA","Đại học Bách Khoa Hà Nội","IT-E10","Chương trình tiên tiến khoa học dữ liệu và trí tuệ nhân tạo","40","A00; A01","27"
"2019","BKA","Đại học Bách Khoa Hà Nội","IT-E6","CNTT Việt Nhật","240","A00; A01","25.7"
"2019","BKA","Đại học Bách Khoa Hà Nội","IT-E7","CNTT Global ICT","120","A00; A01","26"
"2019","BKA","Đại học Bách Khoa Hà Nội","IT-GINP","Hệ thống thông tin - ĐH Grenoble (Pháp)","40","A00; A01; D07; D29","20"
"2019","BKA","Đại học Bách Khoa Hà Nội","IT-LTU","Công nghệ thông tin - ĐH La Trobe (Úc)","70","A00; A01; D07","23.25"
"2019","BKA","Đại học Bách Khoa Hà Nội","IT-VUW","Công nghệ thông tin - ĐH Victoria (New Zea-land)","60","A00; A01; D07","22"
"2019","BKA","Đại học Bách Khoa Hà Nội","ME1","Kỹ thuât cơ điện tử","300","A00; A01","25.4"
"2019","BKA","Đại học Bách Khoa Hà Nội","ME2","Kỹ thuật cơ khí","500","A00; A01","23.86"
"2019","BKA","Đại học Bách Khoa Hà Nội","ME-E1","Chương trình tiên tiến cơ điện tử","80","A00; A01","24.06"
"2019","BKA","Đại học Bách Khoa Hà Nội","ME-GU","Cơ khí-chế tạo máy - ĐH Griffith (Úc)","40","A00; A01; D07","21.2"
"2019","BKA","Đại học Bách Khoa Hà Nội","ME-LUH","Cơ điện tử - ĐH Leibniz Hannover (Đức)","40","A00; A01; D07","20.5"
"2019","BKA","Đại học Bách Khoa Hà Nội","ME-NUT","Cơ điện tử - ĐH Nagaoka (Nhật Bản)","100","A00; A01; D07","22.15"
"2019","BKA","Đại học Bách Khoa Hà Nội","MI1","Toán-tin","100","A00; A01","25.2"
"2019","BKA","Đại học Bách Khoa Hà Nội","MI2","Hệ thống thông tin quản lý","60","A00; A01","24.8"
"2019","BKA","Đại học Bách Khoa Hà Nội","MS1","Kỹ thuật vật liệu","220","A00; A01; D07","21.4"
"2019","BKA","Đại học Bách Khoa Hà Nội","MS-E3","Chương trình tiên tiến KHKT vật liệu","30","A00; A01; D07","21.6"
